LAT,LON,FP_ID,LOC_ID,FROM_DATETIME,TO_DATETIME
0.0,0.0,6D13,3dJ6vzvdhV1535220678916,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,C142,RkqUzYNeE51535466664220,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,5259,OAWYcRZzsU1535466594624,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,4D8F,xPDeeHfVsC1535218472792,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,5DF9,YZX1vFninD1535466084377,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,54B8,urazgGULVR1535466001175,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,5C9B,kvcJxyIdUf1535465785206,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,60CB,Smv5FLkJKY1535465889359,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1394539554,-8.63277766441,4A9D,mIhNKJ1OhH1535215566055,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1393913022,-8.63293890035,5F14,I7HZtYJqzw1535193132130,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,5BC7,dPWCr5lAyM1535464859596,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,4630,QQ6doTNm7U1535279369868,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,A45D,9Ksnvh6eL41535276224824,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,65C0,fKWmN3KTxh1535274748231,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1387543293,-8.63257025168,9FB7,9PZhMsl9sC1535223087989,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1391692983,-8.63465725651,2D8F,Cvg7QlZ48P1535451367123,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1387182447,-8.63455445394,2D46,bFqZZnoxk21535454015361,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,95F5,30FPO7dgWk1535276956614,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1408468579,-8.63132418111,4EFA,2UpXZ9qsrK1535450249236,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,0564,or2Co8W8C61535299808350,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1406913234,-8.63314265252,5181,TzVkMzHNuP1535299997107,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1404057851,-8.63541277005,1CA2,yiS8fE2DmG1534871621291,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1392702563,-8.63614063873,6536,Ifw170k66Q1533056569306,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1391359858,-8.63555584962,6501,2OhB59HXPV1533052721808,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,553F,R7gLdc27Im1535454199253,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,57E5,cpTeFaY9631534851911890,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,2CF7,THhaiEcVCh1535464654037,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,4E71,InxSDe5oWF1535454511688,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,2BB7,sylrxxSRsJ1535454001439,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,9FAC,SryMpuaXeW1535452958220,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,9FAC,QoE3v064za1535278399391,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,926F,2Jpmsf7y5F1535277500911,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,2BB7,f1Snqh2fyf1535276728531,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,553F,djRFA8gxca1535275753221,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,4E71,yuMOciJRYm1535274643823,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,07AA,tQHAFpT7Nn1535272955044,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,C142,Nz2GMaBx7e1535219291101,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,5654,5dBB6jsOvC1535218640150,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,5DF9,Y69xra0PKu1535218120831,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,54B8,7l9MNkNuE91535217286853,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,60CB,SY57gJOaWf1535216641579,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,5C9B,MGEwIWukzA1535215648957,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,4186,facu1yQqv61535192738138,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,2CF7,bieSqlmbTg1535189252997,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1384509339,-8.63620087192,926F,VmsfTVaWvU1535455620265,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1383959899,-8.63561140726,9FAC,971lMaOAbh1535455037186,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1388996629,-8.63396241241,0876,sUUIJFT7cL1535453451771,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1409019334,-8.63163603481,5B33,NrudXlJXLE1535450050025,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1397135965,-8.63242603283,08CC,xooPS0o4Ad1535217728753,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1392061217,-8.63316141498,5F9D,cBdmhXvyjr1535192256090,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,66C4,J1zIe514IJ1535279682786,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,54AD,e816PTeYqx1535275312708,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,4704,agl8HPwFpS1535278218371,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1393255454,-8.63201479911,A06F,b9y2LYwYn51535218609246,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1399404598,-8.63176123132,5C9B,8JTf8eDMhu1535470333956,2018-09-14 18:06:57,2018-10-14 18:06:57
